video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
v_CuttingInKitchen_g17_c03.avi,CuttingInKitchen,CuttingInKitchen,CuttingInKitchen,CuttingInKitchen,ApplyEyeMakeup,1,1,1
v_HeadMassage_g16_c04.avi,HeadMassage,Haircut,HeadMassage,Haircut,WalkingWithDog,0,1,0
v_JumpRope_g24_c01.avi,JumpRope,JumpRope,JumpRope,JumpRope,WritingOnBoard,1,1,1
v_PlayingCello_g15_c02.avi,PlayingCello,PlayingCello,PlayingCello,PlayingCello,BlowingCandles,1,1,1
v_PoleVault_g20_c03.avi,PoleVault,PoleVault,PoleVault,PoleVault,YoYo,1,1,1
v_BlowingCandles_g08_c02.avi,BlowingCandles,BlowingCandles,BlowingCandles,BlowingCandles,Nunchucks,1,1,1
v_PommelHorse_g11_c02.avi,PommelHorse,PommelHorse,PommelHorse,PommelHorse,FieldHockeyPenalty,1,1,1
v_PushUps_g23_c03.avi,PushUps,PushUps,PushUps,HandstandPushups,CricketBowling,1,1,1
v_BoxingSpeedBag_g24_c03.avi,BoxingSpeedBag,BoxingPunchingBag,BoxingSpeedBag,TaiChi,TaiChi,0,1,0
v_Bowling_g08_c02.avi,Bowling,Bowling,Bowling,Bowling,PoleVault,1,1,1
v_Rafting_g02_c02.avi,Rafting,Rafting,Rafting,Rafting,PlayingDaf,1,1,1
v_SoccerPenalty_g14_c03.avi,SoccerPenalty,SoccerPenalty,SoccerPenalty,SoccerPenalty,BaseballPitch,1,1,1
v_PlayingFlute_g15_c07.avi,PlayingFlute,PlayingFlute,PlayingFlute,PlayingFlute,Rafting,1,1,1
v_PlayingPiano_g14_c03.avi,PlayingPiano,PlayingPiano,PlayingPiano,PlayingPiano,FrontCrawl,1,1,1
v_Nunchucks_g15_c05.avi,Nunchucks,FrisbeeCatch,Nunchucks,Bowling,Bowling,0,1,0
v_BaseballPitch_g18_c03.avi,BaseballPitch,BaseballPitch,BaseballPitch,PlayingDaf,PlayingDaf,1,1,0
v_HeadMassage_g01_c02.avi,HeadMassage,Haircut,HeadMassage,Haircut,BoxingSpeedBag,0,1,0
v_WalkingWithDog_g19_c03.avi,WalkingWithDog,WalkingWithDog,WalkingWithDog,PlayingDaf,PlayingDaf,1,1,0
v_JavelinThrow_g20_c02.avi,JavelinThrow,JavelinThrow,JavelinThrow,JavelinThrow,SumoWrestling,1,1,1
v_ShavingBeard_g07_c04.avi,ShavingBeard,Haircut,ShavingBeard,Haircut,PoleVault,0,1,0
v_Surfing_g15_c03.avi,Surfing,Surfing,Surfing,Surfing,PushUps,1,1,1
v_Skiing_g01_c01.avi,Skiing,Skiing,Skiing,Skiing,SalsaSpin,1,1,1
v_BoxingSpeedBag_g25_c02.avi,BoxingSpeedBag,BoxingPunchingBag,BoxingSpeedBag,BoxingPunchingBag,HorseRiding,0,1,0
v_PlayingGuitar_g19_c06.avi,PlayingGuitar,PlayingGuitar,PlayingGuitar,PlayingGuitar,WalkingWithDog,1,1,1
v_ApplyEyeMakeup_g18_c02.avi,ApplyEyeMakeup,ApplyEyeMakeup,ApplyEyeMakeup,ApplyEyeMakeup,PizzaTossing,1,1,1
v_BabyCrawling_g20_c03.avi,BabyCrawling,BabyCrawling,BabyCrawling,Skateboarding,SkateBoarding,1,1,0
v_RopeClimbing_g24_c02.avi,RopeClimbing,RopeClimbing,RopeClimbing,RopeClimbing,TrampolineJumping,1,1,1
v_SkyDiving_g24_c03.avi,SkyDiving,SkyDiving,SkyDiving,SkyDiving,PlayingSitar,1,1,1
v_TennisSwing_g19_c05.avi,TennisSwing,TennisSwing,TennisSwing,MoppingFloor,MoppingFloor,1,1,0
v_PullUps_g21_c01.avi,PullUps,ParallelBars,PullUps,HandstandPushups,PushUps,0,1,0
v_Shotput_g25_c02.avi,Shotput,HammerThrow,Shotput,PizzaTossing,PizzaTossing,0,1,0
v_Typing_g06_c05.avi,Typing,Typing,Typing,Typing,CleanAndJerk,1,1,1
v_BlowingCandles_g02_c04.avi,BlowingCandles,BlowingCandles,BlowingCandles,BlowingCandles,VolleyballSpiking,1,1,1
v_Archery_g16_c05.avi,Archery,PlayingGuitar,Archery,PlayingFlute,PlayingFlute,0,1,0
v_PlayingSitar_g10_c04.avi,PlayingSitar,PlayingSitar,PlayingSitar,PlayingSitar,PizzaTossing,1,1,1
v_BlowingCandles_g18_c04.avi,BlowingCandles,BlowingCandles,BlowingCandles,BlowingCandles,HammerThrow,1,1,1
v_Typing_g03_c04.avi,Typing,Typing,Typing,Typing,WalkingWithDog,1,1,1
v_Fencing_g11_c04.avi,Fencing,Fencing,Fencing,Fencing,GolfSwing,1,1,1
v_YoYo_g25_c05.avi,YoYo,PlayingGuitar,YoYo,Skijet,Skijet,0,1,0
v_UnevenBars_g19_c03.avi,UnevenBars,FloorGymnastics,UnevenBars,FloorGymnastics,Hammering,0,1,0
v_TennisSwing_g11_c05.avi,TennisSwing,TennisSwing,TennisSwing,TennisSwing,WritingOnBoard,1,1,1
v_LongJump_g04_c06.avi,LongJump,Running,LongJump,JumpRope,YoYo,0,1,0
v_Punch_g21_c05.avi,Punch,BoxingPunchingBag,Punch,BoxingPunchingBag,PlayingViolin,1,1,1
v_HorseRiding_g14_c02.avi,HorseRiding,HorseRiding,HorseRiding,HorseRiding,PlayingPiano,1,1,1
v_Billiards_g07_c04.avi,Billiards,Billiards,Billiards,Billiards,Skijet,1,1,1
v_PlayingSitar_g03_c04.avi,PlayingSitar,PlayingGuitar,PlayingSitar,PlayingSitar,FrisbeeCatch,0,1,1
v_SalsaSpin_g17_c04.avi,SalsaSpin,Dancing,SalsaSpin,Hammering,Hammering,0,1,0
v_Rowing_g09_c04.avi,Rowing,Rowing,Rowing,Rowing,ParallelBars,1,1,1
v_HandStandPushups_g21_c05.avi,HandstandPushups,HandstandPushups,HandstandPushups,HandstandPushups,BenchPress,1,1,1
v_MilitaryParade_g09_c07.avi,MilitaryParade,MilitaryParade,MilitaryParade,MilitaryParade,ThrowDiscus,1,1,1
v_WritingOnBoard_g13_c06.avi,WritingOnBoard,WritingOnBoard,WritingOnBoard,WritingOnBoard,HandstandPushups,1,1,1
v_Nunchucks_g21_c06.avi,Nunchucks,Dancing,Nunchucks,FrisbeeCatch,FrisbeeCatch,0,1,0
v_BreastStroke_g13_c04.avi,BreastStroke,FrontCrawl,BreastStroke,HammerThrow,Hammering,0,1,0
v_Bowling_g10_c06.avi,Bowling,Bowling,Bowling,Bowling,IceDancing,1,1,1
v_Mixing_g11_c03.avi,Mixing,Mixing,Mixing,Mixing,HorseRace,1,1,1
v_BodyWeightSquats_g02_c02.avi,BodyWeightSquats,BodyWeightSquats,BodyWeightSquats,Punch,Punch,1,1,0
v_ShavingBeard_g24_c06.avi,ShavingBeard,ShavingBeard,ShavingBeard,ShavingBeard,Biking,1,1,1
v_PushUps_g15_c03.avi,PushUps,PushUps,PushUps,BoxingSpeedBag,BoxingSpeedBag,1,1,0
v_PlayingDhol_g07_c06.avi,PlayingDhol,Drumming,PlayingDhol,Drumming,BrushingTeeth,0,1,0
v_CleanAndJerk_g20_c02.avi,CleanAndJerk,CleanAndJerk,CleanAndJerk,CleanAndJerk,FrisbeeCatch,1,1,1
v_TaiChi_g08_c01.avi,TaiChi,TaiChi,TaiChi,TaiChi,Knitting,1,1,1
v_PizzaTossing_g01_c02.avi,PizzaTossing,PizzaTossing,PizzaTossing,PizzaTossing,TableTennisShot,1,1,1
v_HorseRace_g23_c03.avi,HorseRace,HorseRace,HorseRace,BrushingTeeth,BrushingTeeth,1,1,0
v_SkateBoarding_g17_c01.avi,SkateBoarding,Skateboarding,Skateboarding,Skateboarding,TennisSwing,1,1,1
v_Fencing_g07_c01.avi,Fencing,Fencing,Fencing,Fencing,FieldHockeyPenalty,1,1,1
v_ShavingBeard_g06_c07.avi,ShavingBeard,ShavingBeard,ShavingBeard,ShavingBeard,BasketballDunk,1,1,1
v_Knitting_g01_c01.avi,Knitting,Knitting,Knitting,Knitting,MoppingFloor,1,1,1
v_BoxingPunchingBag_g17_c03.avi,BoxingPunchingBag,BoxingPunchingBag,BoxingPunchingBag,BoxingPunchingBag,Mixing,1,1,1
v_PlayingPiano_g10_c04.avi,PlayingPiano,PlayingPiano,PlayingPiano,PlayingPiano,HulaHoop,1,1,1
v_CleanAndJerk_g11_c03.avi,CleanAndJerk,CleanAndJerk,CleanAndJerk,CleanAndJerk,Punch,1,1,1
v_ApplyLipstick_g09_c04.avi,ApplyLipstick,ApplyLipstick,ApplyLipstick,ApplyLipstick,PlayingDhol,1,1,1
v_ThrowDiscus_g09_c03.avi,ThrowDiscus,HammerThrow,ThrowDiscus,HammerThrow,Mixing,0,1,0
v_TrampolineJumping_g16_c06.avi,TrampolineJumping,TrampolineJumping,TrampolineJumping,TrampolineJumping,Basketball,1,1,1
v_TaiChi_g14_c03.avi,TaiChi,TaiChi,TaiChi,Drumming,Drumming,1,1,0
v_PushUps_g23_c02.avi,PushUps,PushUps,PushUps,HandstandPushups,Mixing,1,1,1
v_PizzaTossing_g14_c04.avi,PizzaTossing,FrisbeeCatch,PizzaTossing,FrisbeeCatch,Knitting,0,1,0
v_Swing_g03_c01.avi,Swing,FrisbeeCatch,GolfSwing,WritingOnBoard,WritingOnBoard,0,1,0
v_WalkingWithDog_g22_c04.avi,WalkingWithDog,WalkingWithDog,WalkingWithDog,RopeClimbing,RopeClimbing,1,1,0
v_TrampolineJumping_g16_c05.avi,TrampolineJumping,TrampolineJumping,TrampolineJumping,TrampolineJumping,TableTennisShot,1,1,1
v_HorseRace_g21_c04.avi,HorseRace,HorseRace,HorseRace,HorseRace,Archery,1,1,1
v_Swing_g19_c04.avi,Swing,Swing,Swing,WallPushups,WallPushups,1,1,0
v_Haircut_g22_c03.avi,Haircut,Haircut,Haircut,Haircut,RopeClimbing,1,1,1
v_Rafting_g06_c03.avi,Rafting,Rafting,Rafting,Rafting,Kayaking,1,1,1
v_PlayingCello_g21_c04.avi,PlayingCello,PlayingCello,PlayingCello,PlayingCello,PlayingGuitar,1,1,1
v_Knitting_g22_c03.avi,Knitting,Knitting,Knitting,Knitting,ApplyEyeMakeup,1,1,1
v_SumoWrestling_g07_c05.avi,SumoWrestling,SumoWrestling,SumoWrestling,SumoWrestling,JugglingBalls,1,1,1
v_BasketballDunk_g21_c04.avi,Basketball,Basketball,Basketball,HighJump,HighJump,1,1,0
v_UnevenBars_g14_c01.avi,UnevenBars,ParallelBars,UnevenBars,ParallelBars,WalkingWithDog,0,1,0
v_IceDancing_g14_c04.avi,IceDancing,IceDancing,IceDancing,IceDancing,LongJump,1,1,1
v_BenchPress_g14_c01.avi,BenchPress,BenchPress,BenchPress,BenchPress,MoppingFloor,1,1,1
v_VolleyballSpiking_g11_c03.avi,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,PommelHorse,1,1,1
v_ParallelBars_g04_c05.avi,ParallelBars,ParallelBars,ParallelBars,ParallelBars,VolleyballSpiking,1,1,1
v_PullUps_g12_c02.avi,PullUps,PullUps,PullUps,PullUps,UnevenBars,1,1,1
v_BlowDryHair_g04_c05.avi,BlowDryHair,BlowDryHair,BlowDryHair,BlowDryHair,Punch,1,1,1
v_BandMarching_g05_c03.avi,BandMarching,BandMarching,BandMarching,BandMarching,Shotput,1,1,1
v_SalsaSpin_g22_c02.avi,SalsaSpin,Dancing,SalsaSpin,FieldHockeyPenalty,FieldHockeyPenalty,0,1,0
v_PlayingTabla_g15_c04.avi,PlayingTabla,PlayingTabla,PlayingTabla,PlayingTabla,PlayingGuitar,1,1,1
v_PommelHorse_g22_c06.avi,PommelHorse,BalanceBeam,PommelHorse,FieldHockeyPenalty,FieldHockeyPenalty,0,1,0
v_HandstandWalking_g14_c03.avi,HandstandWalking,HandstandWalking,HandstandWalking,HandstandWalking,HammerThrow,1,1,1
v_PlayingViolin_g15_c01.avi,PlayingViolin,PlayingViolin,PlayingViolin,PlayingViolin,Nunchucks,1,1,1
v_PlayingDhol_g03_c05.avi,PlayingDhol,Drumming,PlayingDhol,PlayingDhol,PlayingPiano,0,1,1
v_HighJump_g13_c01.avi,HighJump,LongJump,HighJump,BabyCrawling,BabyCrawling,0,1,0
v_JavelinThrow_g21_c02.avi,JavelinThrow,TennisSwing,JavelinThrow,LongJump,LongJump,0,1,0
v_Biking_g19_c01.avi,Biking,Biking,Biking,Biking,JavelinThrow,1,1,1
v_TrampolineJumping_g24_c02.avi,TrampolineJumping,TrampolineJumping,TrampolineJumping,TrampolineJumping,StillRings,1,1,1
v_GolfSwing_g04_c05.avi,GolfSwing,GolfSwing,GolfSwing,GolfSwing,Surfing,1,1,1
v_VolleyballSpiking_g19_c01.avi,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,VolleyballSpiking,Lunges,1,1,1
v_Billiards_g21_c06.avi,Billiards,Billiards,Billiards,Billiards,TrampolineJumping,1,1,1
v_YoYo_g03_c03.avi,YoYo,YoYo,YoYo,YoYo,CliffDiving,1,1,1
v_TableTennisShot_g15_c05.avi,TableTennisShot,TableTennisShot,TableTennisShot,PlayingDaf,PlayingDaf,1,1,0
v_CricketShot_g21_c06.avi,CricketShot,CricketShot,CricketShot,HammerThrow,BoxingPunchingBag,1,1,0
v_Drumming_g23_c05.avi,Drumming,Drumming,Drumming,Drumming,Skiing,1,1,1
v_HammerThrow_g05_c02.avi,HammerThrow,HammerThrow,HammerThrow,HammerThrow,PullUps,1,1,1
v_JugglingBalls_g06_c06.avi,JugglingBalls,JugglingBalls,JugglingBalls,BabyCrawling,BabyCrawling,1,1,0
v_BreastStroke_g22_c04.avi,BreastStroke,FrontCrawl,BreastStroke,FrontCrawl,Lunges,0,1,0
v_Rafting_g04_c03.avi,Rafting,Rafting,Rafting,Rafting,SalsaSpin,1,1,1
v_ApplyLipstick_g18_c04.avi,ApplyLipstick,ApplyLipstick,ApplyLipstick,ApplyLipstick,RockClimbingIndoor,1,1,1
v_BreastStroke_g19_c02.avi,BreastStroke,FrontCrawl,BreastStroke,StillRings,StillRings,0,1,0
v_Skijet_g02_c01.avi,Skijet,JetSkiing,Skijet,Skijet,BabyCrawling,0,1,1
v_BrushingTeeth_g07_c03.avi,BrushingTeeth,BrushingTeeth,BrushingTeeth,BrushingTeeth,Biking,1,1,1
v_BenchPress_g20_c07.avi,BenchPress,BenchPress,BenchPress,BenchPress,SoccerJuggling,1,1,1
v_BoxingSpeedBag_g11_c04.avi,BoxingSpeedBag,BoxingPunchingBag,BoxingSpeedBag,BoxingPunchingBag,Nunchucks,0,1,0
v_PlayingFlute_g22_c03.avi,PlayingFlute,PlayingFlute,PlayingFlute,BoxingSpeedBag,BoxingSpeedBag,1,1,0
v_SoccerJuggling_g05_c03.avi,SoccerJuggling,SoccerJuggling,SoccerJuggling,PlayingDaf,PlayingDaf,1,1,0
v_PoleVault_g11_c02.avi,PoleVault,Basketball,PoleVault,CricketShot,CricketShot,0,1,0
v_MilitaryParade_g02_c01.avi,MilitaryParade,MilitaryParade,MilitaryParade,MilitaryParade,BaseballPitch,1,1,1
v_Skijet_g03_c04.avi,Skijet,Surfing,Skijet,Haircut,Haircut,0,1,0
v_HulaHoop_g13_c02.avi,HulaHoop,HulaHoop,HulaHoop,HulaHoop,Knitting,1,1,1
v_PlayingDaf_g15_c06.avi,PlayingDaf,PlayingDaf,PlayingDaf,Drumming,HorseRiding,1,1,0
v_ParallelBars_g25_c03.avi,ParallelBars,ParallelBars,ParallelBars,ParallelBars,Fencing,1,1,1
v_HorseRiding_g16_c03.avi,HorseRiding,HorseRiding,HorseRiding,HorseRiding,PlayingDaf,1,1,1
v_Lunges_g11_c07.avi,Lunges,Lunges,Lunges,Lunges,HorseRiding,1,1,1
v_CliffDiving_g15_c04.avi,CliffDiving,CliffDiving,CliffDiving,JavelinThrow,JavelinThrow,1,1,0
v_Basketball_g10_c05.avi,Basketball,Basketball,Basketball,WallPushups,WallPushups,1,1,0
v_WallPushups_g24_c02.avi,WallPushups,WallPushups,WallPushups,WallPushups,Kayaking,1,1,1
v_StillRings_g04_c04.avi,StillRings,PoleVault,StillRings,PoleVault,Hammering,0,1,0
v_LongJump_g21_c02.avi,LongJump,JumpingJack,LongJump,WalkingWithDog,WalkingWithDog,0,1,0
v_HighJump_g07_c01.avi,HighJump,LongJump,HighJump,MoppingFloor,MoppingFloor,0,1,0
v_UnevenBars_g17_c02.avi,UnevenBars,ParallelBars,UnevenBars,ParallelBars,GolfSwing,0,1,0
v_Haircut_g07_c03.avi,Haircut,Haircut,Haircut,Haircut,Biking,1,1,1
v_MoppingFloor_g02_c02.avi,MoppingFloor,MoppingFloor,MoppingFloor,MoppingFloor,PlayingFlute,1,1,1
v_BabyCrawling_g24_c06.avi,BabyCrawling,BabyCrawling,BabyCrawling,BabyCrawling,Archery,1,1,1
v_Shotput_g13_c04.avi,Shotput,HighJump,Shotput,LongJump,VolleyballSpiking,0,1,0
v_JumpRope_g07_c03.avi,JumpRope,HulaHoop,JumpRope,HulaHoop,Punch,0,1,0
v_MilitaryParade_g14_c03.avi,MilitaryParade,MilitaryParade,MilitaryParade,MilitaryParade,BaseballPitch,1,1,1
v_Diving_g02_c03.avi,Diving,Diving,Diving,Diving,JugglingBalls,1,1,1
v_ApplyEyeMakeup_g02_c04.avi,ApplyEyeMakeup,ApplyEyeMakeup,ApplyEyeMakeup,ApplyEyeMakeup,FloorGymnastics,1,1,1
v_Skiing_g13_c06.avi,Skiing,Skiing,Skiing,Skiing,SoccerPenalty,1,1,1
v_GolfSwing_g18_c02.avi,GolfSwing,GolfSwing,GolfSwing,GolfSwing,BasketballDunk,1,1,1
v_JugglingBalls_g12_c01.avi,JugglingBalls,PlayingGuitar,JugglingBalls,YoYo,YoYo,0,1,0
v_FrontCrawl_g08_c05.avi,FrontCrawl,FrontCrawl,FrontCrawl,FrontCrawl,SoccerPenalty,1,1,1
v_Billiards_g04_c06.avi,Billiards,Billiards,Billiards,Billiards,BandMarching,1,1,1
v_BaseballPitch_g22_c06.avi,BaseballPitch,BaseballPitch,BaseballPitch,BaseballPitch,WalkingWithDog,1,1,1
v_ThrowDiscus_g11_c07.avi,ThrowDiscus,HammerThrow,ThrowDiscus,HammerThrow,BabyCrawling,0,1,0
v_SumoWrestling_g21_c02.avi,SumoWrestling,SumoWrestling,SumoWrestling,SumoWrestling,FrontCrawl,1,1,1
v_FieldHockeyPenalty_g20_c03.avi,FieldHockeyPenalty,FieldHockeyPenalty,FieldHockeyPenalty,FieldHockeyPenalty,Diving,1,1,1
v_TaiChi_g23_c04.avi,TaiChi,TaiChi,TaiChi,TaiChi,Archery,1,1,1
v_JumpingJack_g21_c03.avi,JumpingJack,JumpingJack,JumpingJack,JumpingJack,Skiing,1,1,1
v_MoppingFloor_g23_c03.avi,MoppingFloor,MoppingFloor,MoppingFloor,BrushingTeeth,BrushingTeeth,1,1,0
