dataset,video,ground_truth,pred_A,pred_B,pred_C,wrong_label,hit_A,hit_B,hit_C
Something-Something v2,113575.webm,Pretending or failing to wipe something off of something,Holding something,Pretending or failing to wipe something off of something,Twisting something,Twisting something,0,1,0
Something-Something v2,62846.webm,Turning the camera downwards while filming something,None,Turning the camera downwards while filming something,Pretending to take something out of something,Taking something out of something,0,1,0
Something-Something v2,110466.webm,Pulling something from right to left,Holding something,Pulling something from right to left,Pushing something off of something,Pushing something off of something,0,1,0
Something-Something v2,21517.webm,Poking a stack of something so the stack collapses,Holding something,Poking a stack of something so the stack collapses,Rolling something on a flat surface,Rolling something on a flat surface,0,1,0
Something-Something v2,199877.webm,Poking something so that it spins around,Dropping something onto something,Poking something so that it spins around.,Sprinkling something onto something,Sprinkling something onto something,0,1,0
Something-Something v2,217860.webm,Stuffing something into something,Holding something,Stuffing something into something,Dropping something into something,Something falling like a rock,0,1,0
Something-Something v2,98815.webm,Pretending to put something onto something,Holding something,Pretending to put something onto something,Pulling something out of something,Pulling something out of something,0,1,0
Something-Something v2,77376.webm,"Lifting up one end of something, then letting it drop down",Pouring something into something,"Lifting up one end of something, then letting it drop down.",Pouring something onto something,Putting something on a surface,0,1,0
Something-Something v2,4345.webm,Putting something and something on the table,None,Putting something and something on the table,"Pretending to pour something out of something, but something is empty",Spreading something onto something,0,1,0
Something-Something v2,7221.webm,Showing a photo of something to the camera,Holding something,Showing a photo of something to the camera,Pretending to turn something upside down.,Pretending to turn something upside down,0,1,0
Something-Something v2,3282.webm,Wiping something off of something,Wiping something off of something,Wiping something off of something.,Pretending to be tearing something that is not tearable,Pulling two ends of something but nothing happens,1,1,0
Something-Something v2,116393.webm,Pushing something so that it almost falls off but doesnt,Holding something,Pushing something so that it almost falls off but doesnt.,"Putting something that cant roll onto a slanted surface, so it stays where it is.","Putting something that cant roll onto a slanted surface, so it stays where it is",0,1,0
Something-Something v2,208808.webm,Showing a photo of something to the camera,Holding something,Showing a photo of something to the camera,Pretending to poke something,Pretending to poke something,0,1,0
Something-Something v2,146201.webm,Spinning something that quickly stops spinning,Dropping something onto something,Spinning something that quickly stops spinning,Pretending to spread air onto something,Pretending to spread air onto something,0,1,0
Something-Something v2,43775.webm,Lifting up one end of something without letting it drop down,Holding something,Lifting up one end of something without letting it drop down,Pretending to be tearing something that is not tearable,Pretending to be tearing something that is not tearable,0,1,0
Something-Something v2,154579.webm,Dropping something next to something,Dropping something next to something,Dropping something next to something,Pouring something into something until it overflows,Pouring something into something until it overflows,1,1,0
Something-Something v2,55630.webm,Moving something closer to something,Holding something,Moving something closer to something,Lifting up one end of something without letting it drop down,Lifting up one end of something without letting it drop down,0,1,0
Something-Something v2,47290.webm,Pretending to be tearing something that is not tearable,Holding something,Pretending to be tearing something that is not tearable,Holding something,Plugging something into something,0,1,0
Something-Something v2,135056.webm,Moving something and something away from each other,Holding something,Moving something and something away from each other,Pretending to take something from somewhere,Pretending to take something from somewhere,0,1,0
Something-Something v2,82133.webm,Sprinkling something onto something,Pouring something into something,Sprinkling something onto something,Pouring something into something,Lifting up one end of something without letting it drop down,0,1,0
Something-Something v2,51423.webm,"Laying something on the table on its side, not upright",Holding something,"Laying something on the table on its side, not upright",Spilling something onto something,Spilling something onto something,0,1,0
Something-Something v2,683.webm,Spilling something behind something,Holding something,Spilling something behind something,Picking something up,Picking something up,0,1,0
Something-Something v2,60773.webm,Putting something into something,Opening something,Putting something into something,Plugging something into something,Plugging something into something,0,1,0
Something-Something v2,207718.webm,Trying but failing to attach something to something because it doesnt stick,Pointing,Trying but failing to attach something to something because it doesnt stick,Poking something so it slightly moves.,Poking something so it slightly moves,0,1,0
Something-Something v2,12774.webm,Pretending to sprinkle air onto something,Holding something,Pretending to sprinkle air onto something,Showing a photo of something to the camera,Showing a photo of something to the camera,0,1,0
Something-Something v2,89017.webm,Tilting something with something on it slightly so it doesnt fall down,Holding something,Holding something,"Pretending to pour something out of something, but something is empty.","Pretending to pour something out of something, but something is empty",0,0,0
Something-Something v2,27200.webm,Pouring something into something,Pouring something into something,Pouring something into something,Pouring something into something,Throwing something,1,1,1
Something-Something v2,208135.webm,Tearing something just a little bit,Folding something,Tearing something just a little bit.,Dropping something into something,Something falling like a feather or paper,0,1,0
Something-Something v2,8459.webm,Putting something next to something,Holding something,Holding something next to something,Holding something,Throwing something in the air and catching it,0,0,0
Something-Something v2,52126.webm,Putting something onto something,Holding something,Putting something onto something,Pretending to put something into something,Pretending to put something into something,0,1,0
Something-Something v2,86484.webm,Pushing something so it spins,Hanging,Pushing something so it spins.,Lifting a surface with something on it but not enough for it to slide down,Lifting a surface with something on it but not enough for it to slide down,0,1,0
Something-Something v2,89199.webm,"Trying to pour something into something, but missing so it spills next to it",Pouring something into something,Pouring something into something,Pouring something into something,Plugging something into something,0,0,0
Something-Something v2,161385.webm,Moving something and something away from each other,Holding something,Moving something and something away from each other,Pretending to put something underneath something,Pretending to put something underneath something,0,1,0
Something-Something v2,103923.webm,Pretending to throw something,Holding something,Pretending to throw something,Poking something so that it spins around.,Poking something so that it spins around,0,1,0
Something-Something v2,98299.webm,Putting number of something onto something,Holding something,Putting number of something onto something,Pulling two ends of something so that it separates into two pieces.,Pulling two ends of something so that it separates into two pieces,0,1,0
Something-Something v2,93729.webm,"Pretending to pour something out of something, but something is empty",Pouring something into something,"Pretending to pour something out of something, but something is empty.",Pouring something into something,Moving something up,0,1,0
Something-Something v2,156644.webm,Showing something on top of something,No action,Showing something on top of something,Pretending to scoop something up with something,Pretending to scoop something up with something,0,1,0
Something-Something v2,168308.webm,Moving something and something so they collide with each other,Holding something,Holding something,Bending something until it breaks,Bending something until it breaks,0,0,0
Something-Something v2,201822.webm,Turning the camera upwards while filming something,No action,Turning the camera upwards while filming something,Dropping something onto something,Spilling something behind something,0,1,0
Something-Something v2,197899.webm,Touching (without moving) part of something,Holding something,Touching (without moving) part of something,Holding something,Moving away from something with your camera,0,1,0
Something-Something v2,54901.webm,Letting something roll along a flat surface,Letting something roll along a flat surface,Letting something roll along a flat surface,Pretending to put something behind something.,Pretending to put something behind something,1,1,0
Something-Something v2,134171.webm,Piling something up,Holding something,Piling something up,Dropping something next to something,Dropping something next to something,0,1,0
Something-Something v2,117852.webm,Pulling two ends of something so that it gets stretched,Attaching something to something,Pulling two ends of something so that it gets stretched.,Failing to put something into something because something does not fit,Failing to put something into something because something does not fit,0,1,0
Something-Something v2,72736.webm,Stuffing something into something,Wiping something off of something,Stuffing something into something,Covering something with something,Spreading something onto something,0,1,0
Something-Something v2,46314.webm,Scooping something up with something,Pouring something into something,Pouring something into something,Pouring something into something,Pretending to put something on a surface,0,0,0
Something-Something v2,168817.webm,Holding something,Holding something,Holding something,Holding something,Moving part of something,1,1,1
Something-Something v2,97910.webm,Throwing something in the air and catching it,Holding something,Holding something,Pretending to turn something upside down,Turning something upside down,0,0,0
Something-Something v2,140595.webm,Taking something out of something,Opening something,Taking something out of something,Showing something behind something,Showing something behind something,0,1,0
Something-Something v2,144309.webm,Twisting something,Opening something,Twisting something,Lifting a surface with something on it until it starts sliding down,Lifting a surface with something on it until it starts sliding down,0,1,0
Something-Something v2,83789.webm,Poking a hole into some substance,Holding something,Poking a hole into some substance,Bending something until it breaks,Bending something until it breaks,0,1,0
Something-Something v2,120558.webm,Spilling something behind something,Dropping something into something,Spilling something behind something,Pretending to take something from somewhere,Taking something from somewhere,0,1,0
Something-Something v2,107333.webm,Tilting something with something on it until it falls off,Holding something,Lifting a surface with something on it until it starts sliding down,Pretending to put something into something,Pretending to put something into something,0,0,0
Something-Something v2,134161.webm,Pushing something onto something,Dropping something onto something,Pushing something onto something,"Removing something, revealing something behind","Removing something, revealing something behind",0,1,0
Something-Something v2,114259.webm,Spilling something next to something,Dropping something onto something,Spilling something next to something,Rolling something on a flat surface,Rolling something on a flat surface,0,1,0
Something-Something v2,48100.webm,Pretending or trying and failing to twist something,Opening something,Pretending or failing to twist something,Opening something,Putting something onto something else that cannot support it so it falls down,0,0,0
Something-Something v2,140296.webm,Taking one of many similar things on the table,Holding something,Taking one of many similar things on the table,Pulling something from right to left,Pulling something from right to left,0,1,0
Something-Something v2,97828.webm,Pushing something so that it slightly moves,Pointing,Poking a hole into something soft,Picking something up,Picking something up,0,0,0
Something-Something v2,167467.webm,Hitting something with something,Holding something,Holding something,Holding something,Failing to put something into something because something does not fit,0,0,0
Something-Something v2,186881.webm,Pretending to turn something upside down,Wiping something off of something,Pretending to turn something upside down.,Pretending to be tearing something that is not tearable,Pretending or trying and failing to twist something,0,1,0
Something-Something v2,187286.webm,Throwing something in the air and catching it,Holding something,Throwing something in the air and catching it.,Rolling something on a flat surface,Rolling something on a flat surface,0,1,0
Something-Something v2,60274.webm,Pretending to sprinkle air onto something,Eating,Pretending to sprinkle air onto something,Holding something,Lifting something with something on it,0,1,0
Something-Something v2,86337.webm,"Putting something that cannot actually stand upright upright on the table, so it falls on its side",Holding something,Holding something,Holding something,Holding something,0,0,0
Something-Something v2,59117.webm,Something colliding with something and both come to a halt,Holding something,Holding something,Attaching something to something,Putting number of something onto something,0,0,0
Something-Something v2,132257.webm,"Putting something, something and something on the table",None,"Putting something, something and something on the table",Holding something next to something,Showing something next to something,0,1,0
